CGPA,Attendance,CodingScore,Projects,Internship,Placement
9.1,96,95,5,1,1
8.8,92,90,4,1,1
8.5,90,88,3,1,1
8.2,87,82,3,1,1
7.9,84,78,2,1,1
7.7,82,75,2,1,1
8.6,91,89,4,1,1
9.0,97,94,5,1,1
8.3,88,84,3,1,1
7.8,85,76,2,1,1
8.9,95,92,4,1,1
8.1,86,80,3,1,1
7.6,81,74,2,1,1
8.4,89,86,3,1,1
9.2,98,97,5,1,1
8.7,93,91,4,1,1
7.5,80,72,2,1,1
8.0,85,79,3,1,1
8.8,94,90,4,1,1
9.3,99,98,5,1,1
6.9,74,63,2,0,0
6.5,70,55,1,0,0
6.2,66,50,1,0,0
5.9,62,45,1,0,0
6.8,73,60,2,0,0
5.8,60,42,1,0,0
6.4,69,53,1,0,0
6.7,72,58,2,0,0
5.7,58,40,1,0,0
6.1,65,48,1,0,0
6.6,71,56,2,0,0
5.6,57,38,1,0,0
6.3,68,52,1,0,0
6.0,64,47,1,0,0
5.5,55,35,0,0,0
6.8,75,62,2,0,0
7.1,78,68,2,0,0
7.2,79,69,2,0,0
7.4,81,71,2,0,0
7.3,80,70,2,0,0
7.8,86,77,3,1,1
8.1,87,81,3,1,1
8.5,91,87,4,1,1
7.0,76,66,2,0,0
6.7,71,57,1,0,0
8.9,96,93,5,1,1
9.0,97,95,5,1,1
5.9,61,44,1,0,0
8.2,88,83,3,1,1
6.4,67,51,1,0,0
